"Place","County","STATE",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870,1860,1850
"Alamogordo","Otero County","New Mexico",31060,30403,35582,27596,24024,23035,21723,6783,3950,3096,2363,0,0,0,0,0,0,0
"Albuquerque","Bernalillo County","New Mexico",557169,545852,448607,384736,332920,244501,201189,96815,35449,26570,15157,11020,6238,3785,2315,0,0,0
"Angel Fire","Colfax County","New Mexico",1141,1216,1048,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anthony","? County","New Mexico",9318,9360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Artesia","Eddy County","New Mexico",11842,11301,10692,10610,10385,10315,12000,8244,4071,2427,1115,1883,0,0,0,0,0,0
"Aztec","San Juan County","New Mexico",6419,6763,6378,5479,5512,3354,4137,885,756,740,489,509,0,0,0,0,0,0
"Bayard","Grant County","New Mexico",2304,2328,2534,2598,3036,2908,2327,2119,764,0,0,0,0,0,0,0,0,0
"Belen","Valencia County","New Mexico",7175,7269,6901,6547,5617,4823,5031,4495,3038,2116,1306,0,0,0,0,0,0,0
"Bernalillo","Sandoval County","New Mexico",8564,8320,6611,5960,2988,2016,2574,1922,0,0,0,0,0,0,1223,0,0,0
"Bloomfield","San Juan County","New Mexico",7638,8112,6417,5214,4881,1574,1292,0,0,0,0,0,0,0,0,0,0,0
"Bosque Farms","Valencia County","New Mexico",3850,3904,3931,3791,3353,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capitan","Lincoln County","New Mexico",1418,1489,1443,842,762,439,552,575,932,0,0,0,0,0,0,0,0,0
"Carlsbad","Eddy County","New Mexico",28103,26138,25625,24952,25496,21297,25541,17975,7116,3708,2205,1736,963,0,0,0,0,0
"Carrizozo","Lincoln County","New Mexico",955,996,1036,1075,1222,1123,1546,1389,1457,1171,1301,0,0,0,0,0,0,0
"Causey","Roosevelt County","New Mexico",100,104,52,57,81,150,38,0,0,0,0,0,0,0,0,0,0,0
"Chama","Rio Arriba County","New Mexico",1012,1022,1199,1048,1090,899,0,0,0,0,0,0,0,0,0,0,0,0
"Cimarron","Colfax County","New Mexico",933,1021,917,774,888,927,997,855,744,698,481,791,0,0,290,0,0,0
"Clayton","Union County","New Mexico",2832,2980,2524,2484,2968,2931,3314,3515,3188,2518,2157,970,0,0,0,0,0,0
"Cloudcroft","Otero County","New Mexico",690,674,749,636,521,525,464,251,0,0,0,0,0,0,0,0,0,0
"Clovis","Curry County","New Mexico",39860,37775,32667,30954,31194,28495,23713,17318,10065,8027,4904,3255,0,0,0,0,0,0
"Columbus","Luna County","New Mexico",1634,1664,1765,641,414,241,307,251,265,391,2110,0,0,0,0,0,0,0
"Corona","Lincoln County","New Mexico",164,172,165,215,236,262,420,530,0,0,0,0,0,0,0,0,0,0
"Corrales","Bernalillo/Sandoval County","New Mexico",8374,8329,7334,5453,2791,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cuba","Sandoval County","New Mexico",731,731,590,760,609,415,0,0,0,0,0,0,0,0,0,0,0,0
"Deming","Luna County","New Mexico",14605,14855,14116,10970,9964,8343,5764,5672,3608,3377,3212,1864,0,0,0,0,0,0
"Des Moines","Union County","New Mexico",132,143,177,168,178,204,207,282,289,362,0,0,0,0,0,0,0,0
"Dexter","Chaves County","New Mexico",1274,1266,1235,898,882,746,885,784,734,459,333,242,0,0,0,0,0,0
"Dora","Roosevelt County","New Mexico",129,133,130,167,168,196,113,0,0,0,0,0,0,0,0,0,0,0
"Eagle Nest","Colfax County","New Mexico",267,290,306,189,202,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edgewood","? County","New Mexico",3805,3735,1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elephant Butte","? County","New Mexico",1356,1431,1390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Elida","Roosevelt County","New Mexico",190,197,183,201,202,233,534,430,330,325,300,327,0,0,0,0,0,0
"Encino","Torrance County","New Mexico",78,82,94,131,155,250,346,408,652,0,0,0,0,0,0,0,0,0
"Espanola","Rio Arriba/Santa Fe County","New Mexico",10130,10224,9688,8389,6803,4528,1976,1446,643,314,0,0,0,0,0,0,0,0
"Estancia","Torrance County","New Mexico",1606,1655,1584,792,830,721,797,916,668,634,578,517,0,0,0,0,0,0
"Eunice","Lea County","New Mexico",3147,2922,2562,2676,2970,2641,3531,2352,1227,0,0,0,0,0,0,0,0,0
"Farmington","San Juan County","New Mexico",44445,45877,37844,33997,31222,21979,23786,3637,2161,1350,728,785,0,0,0,0,0,0
"Floyd","Roosevelt County","New Mexico",117,133,78,117,146,248,423,0,0,0,0,0,0,0,0,0,0,0
"Folsom","Union County","New Mexico",55,56,75,71,73,75,142,206,360,0,0,484,0,0,0,0,0,0
"Fort Sumner","DeBaca County","New Mexico",931,1031,1249,1269,1421,1615,1809,1982,1669,839,777,0,0,0,0,0,0,0
"Gallup","McKinley County","New Mexico",22469,21678,20209,19154,18167,14596,14089,9133,7041,5992,3920,2264,2948,0,0,0,0,0
"Grady","Curry County","New Mexico",108,107,98,110,122,104,100,180,237,0,0,0,0,0,0,0,0,0
"Grants","Cibola County","New Mexico",9241,9182,8806,8626,11439,8768,10274,2251,0,0,0,0,0,0,0,0,0,0
"Grenville","Union County","New Mexico",36,38,25,24,39,21,55,102,143,231,0,0,0,0,0,0,0,0
"Hagerman","Chaves County","New Mexico",1258,1257,1168,961,936,953,1144,1024,854,609,476,449,0,0,0,0,0,0
"Hatch","Dona Ana County","New Mexico",1601,1648,1673,1136,1028,867,888,1064,822,364,0,0,0,0,0,0,0,0
"Hobbs","Lea County","New Mexico",37118,34122,28657,29115,29153,26025,26275,13875,10619,598,0,0,0,0,0,0,0,0
"Hope","Eddy County","New Mexico",106,105,107,101,111,90,108,186,289,275,430,417,0,0,0,0,0,0
"House","Quay County","New Mexico",64,68,72,85,117,119,139,0,0,0,0,0,0,0,0,0,0,0
"Hurley","Grant County","New Mexico",1278,1297,1464,1534,1616,1796,1851,2079,0,0,0,0,0,0,0,0,0,0
"Jal","Lea County","New Mexico",2209,2047,1996,2156,2675,2602,3051,2047,1157,404,0,0,0,0,0,0,0,0
"Jemez Springs","Sandoval County","New Mexico",251,250,375,413,316,356,223,0,0,0,0,0,0,0,0,0,0,0
"Lake Arthur","Chaves County","New Mexico",438,436,432,336,327,306,387,380,279,215,141,344,0,0,0,0,0,0
"Las Cruces","Dona Ana County","New Mexico",101408,97618,74267,62126,45086,37857,29367,12325,8385,5811,3969,3836,0,0,0,0,0,0
"Las Vegas","San Miguel County","New Mexico",13518,13753,14565,14753,14322,7528,7790,7494,5941,4719,4304,3755,3552,2312,0,0,0,
"Logan","Quay County","New Mexico",973,1042,1094,870,735,386,0,0,0,0,0,0,0,0,0,0,0,0
"Lordsburg","Hidalgo County","New Mexico",2609,2797,3379,2951,3195,3429,3436,3525,3101,2069,1325,0,0,0,0,0,0,0
"Los Lunas","Valencia County","New Mexico",15206,14835,10034,6013,3525,973,1186,889,686,513,0,0,0,0,876,0,0,0
"Los Ranchos de Albuquerque","Bernalillo County","New Mexico",6063,6024,5092,3955,2741,1900,0,0,0,0,0,0,0,0,400,0,0,0
"Loving","Eddy County","New Mexico",1399,1413,1326,1243,1355,1192,1646,1487,0,0,0,0,0,0,0,0,0,0
"Lovington","Lea County","New Mexico",11840,11009,9471,9322,9727,8915,9660,3134,1916,961,411,0,0,0,0,0,0,0
"Magdalena","Socorro County","New Mexico",913,938,913,861,1022,652,1211,1297,1323,1371,1867,0,0,0,0,0,0,0
"Maxwell","Colfax County","New Mexico",233,254,274,247,316,393,392,404,483,439,384,0,0,0,0,0,0,0
"Melrose","Curry County","New Mexico",657,651,736,662,649,636,698,936,851,655,364,0,0,0,0,0,0,0
"Mesilla","Dona Ana County","New Mexico",1880,2196,2180,1975,2029,1713,1264,1264,0,0,0,0,0,0,0,0,0,0
"Milan","Cibola County","New Mexico",3255,3245,1891,1911,3747,2222,2658,0,0,0,0,0,0,0,0,0,0,0
"Moriarty","Torrance County","New Mexico",1821,1910,1765,1399,1276,758,720,0,0,0,0,0,0,0,0,0,0,0
"Mosquero","Harding County","New Mexico",91,93,120,164,197,244,310,583,742,401,0,0,0,0,0,0,0,0
"Mountainair","Torrance County","New Mexico",885,928,1116,926,1170,1022,1605,1418,1477,1027,577,0,0,0,0,0,0,0
"Pecos","San Miguel County","New Mexico",1336,1392,1441,1012,885,598,584,0,0,0,0,0,0,0,241,0,0,0
"Peralta","? County","New Mexico",3597,3660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Portales","Roosevelt County","New Mexico",12233,12280,11131,10690,9940,10554,9695,8112,5104,2519,1154,1292,0,0,0,0,0,0
"Questa","Taos County","New Mexico",1769,1770,1864,1707,1202,1095,0,0,0,0,0,0,0,0,0,0,0,0
"Raton","Colfax County","New Mexico",6326,6885,7282,7372,8225,6962,8146,8241,7607,6090,5544,4539,3540,1255,0,0,0,0
"Red River","Taos County","New Mexico",480,477,484,387,332,0,0,0,0,0,0,0,0,0,0,0,0,0
"Reserve","Catron County","New Mexico",279,289,387,319,439,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rio Rancho","Sandoval County","New Mexico",93820,87521,51765,32505,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Roswell","Chaves County","New Mexico",48608,48366,45293,44654,39676,33908,39593,25738,13482,11173,7033,6172,2049,0,0,0,0,0
"Roy","Harding County","New Mexico",230,234,304,362,381,476,633,1074,1138,713,564,0,0,0,0,0,0,0
"Ruidoso","Lincoln County","New Mexico",7824,8029,7698,4600,4260,2216,1557,806,0,0,0,0,0,0,0,0,0,0
"Ruidoso Downs","Lincoln County","New Mexico",2635,2815,1824,920,949,702,407,363,0,0,0,0,0,0,0,0,0,0
"San Jon","Quay County","New Mexico",204,216,306,277,341,308,411,362,0,0,0,0,0,0,0,0,0,0
"Santa Clara","? County","New Mexico",1665,1686,1944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Fe","Santa Fe County","New Mexico",70297,67947,62203,55859,49160,41167,34676,27998,20325,11176,7236,5072,5603,6185,6635,4765,4635,4539
"Santa Rosa","Guadalupe County","New Mexico",2729,2848,2744,2263,2469,2485,2220,2199,2310,1127,1093,0,0,0,0,0,0,0
"San Ysidro","Sandoval County","New Mexico",194,193,238,233,199,182,0,0,0,0,0,0,0,0,0,0,0,0
"Silver City","Grant County","New Mexico",10172,10315,10545,10683,9887,8557,6972,7022,5044,3519,2662,3217,2735,2102,1800,0,0,0
"Socorro","Socorro County","New Mexico",8751,9051,8877,8159,7173,5849,5271,4334,3712,2058,1256,1560,1512,2295,1272,0,0,0
"Springer","Colfax County","New Mexico",963,1047,1285,1262,1657,1574,1564,1558,1314,957,915,550,0,0,0,0,0,0
"Sunland Park","Dona Ana County","New Mexico",15400,14106,13309,8179,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taos","Taos County","New Mexico",5766,5716,4700,4065,3369,2475,2163,1815,965,0,0,0,0,0,0,0,0,0
"Taos Ski Valley","? County","New Mexico",69,69,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tatum","Lea County","New Mexico",859,798,683,768,896,982,1168,688,0,0,0,0,0,0,0,0,0,0
"Texico","Curry County","New Mexico",1137,1130,1065,966,958,772,889,691,478,569,381,409,0,0,0,0,0,0
"Tijeras","Bernalillo County","New Mexico",545,541,474,340,311,0,0,0,0,0,0,0,0,0,0,0,0,0
"Truth or Consequences","Sierra County","New Mexico",6103,6475,7289,6221,5219,4656,4269,4563,2940,1336,455,0,0,0,0,0,0,0
"Tucumcari","Quay County","New Mexico",5051,5363,5989,6831,6765,7189,8143,8419,6194,4143,3117,2526,0,0,0,0,0,0
"Tularosa","Otero County","New Mexico",2894,2842,2864,2615,2536,2851,3200,1642,1446,1406,1096,0,0,0,549,0,0,0
"Vaughn","Guadalupe County","New Mexico",423,446,539,633,737,867,1170,1356,1331,968,888,0,0,0,0,0,0,0
"Virden","Hidalgo County","New Mexico",141,152,143,108,246,151,135,146,206,196,0,0,0,0,0,0,0,0
"Wagon Mound","Mora County","New Mexico",296,314,369,319,416,630,760,1120,979,852,875,0,0,0,0,0,0,0
"Willard","Torrance County","New Mexico",242,253,240,183,166,209,294,296,462,482,421,0,0,0,0,0,0,0
"Williamsburg","Sierra County","New Mexico",427,449,527,456,433,367,0,0,0,0,0,0,0,0,0,0,0,0
