"NAME","County","STATE",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880
"Aberdeen","Brown County","South Dakota",27800,26091,24658,24927,25851,26476,23073,21051,17015,16465,14537,10753,4087,3182,0
"Agar","Sully County","South Dakota",78,76,82,82,139,156,139,141,142,200,0,0,0,0,0
"Akaska","Walworth County","South Dakota",42,42,31,52,49,46,90,84,151,169,101,114,0,0,0
"Albee","Grant County","South Dakota",16,16,10,15,23,26,42,75,114,94,115,131,0,0,0
"Alcester","Union County","South Dakota",788,807,880,843,885,627,479,585,581,460,492,409,381,0,0
"Alexandria","Hanson County","South Dakota",631,615,563,518,588,598,614,714,746,688,965,955,680,0,0
"Alpena","Jerauld County","South Dakota",276,286,265,251,288,307,407,426,440,499,576,417,153,0,0
"Altamont","Deuel County","South Dakota",33,34,34,48,58,54,77,76,144,123,116,110,0,0,0
"Andover","Day County","South Dakota",88,91,99,106,139,138,224,277,350,322,441,446,225,232,0
"Arlington","Kingsbury County","South Dakota",899,915,992,908,991,954,996,1096,1157,1020,1011,791,314,270,0
"Armour","Douglas County","South Dakota",685,699,782,854,819,925,875,900,1013,1009,1045,968,912,482,0
"Artas","Campbell County","South Dakota",9,9,13,28,43,73,87,0,0,0,0,0,0,0,0
"Artesian","Sanborn County","South Dakota",137,138,157,217,227,277,330,429,502,556,689,583,339,256,0
"Ashton","Spink County","South Dakota",127,122,152,148,154,137,182,222,240,314,372,430,274,359,0
"Astoria","Deuel County","South Dakota",137,139,150,155,154,153,176,206,214,231,221,0,0,0,0
"Aurora","Brookings County","South Dakota",621,532,500,619,507,237,232,202,225,166,246,236,0,0,0
"Avon","Bon Homme County","South Dakota",577,590,561,576,576,610,637,692,728,670,630,451,0,0,0
"Badger","Kingsbury County","South Dakota",105,107,144,114,99,122,117,180,170,163,162,0,0,0,0
"Baltic","Minnehaha County","South Dakota",1135,1089,811,666,679,364,278,255,270,272,287,278,0,0,0
"Bancroft","Kingsbury County","South Dakota",19,19,37,30,41,48,86,100,126,155,141,136,0,0,0
"Batesland","Shannon County","South Dakota",113,108,88,124,163,135,0,0,0,0,0,0,0,0,0
"Belle Fourche","Butte County","South Dakota",5707,5594,4565,4335,4692,4236,4087,3540,2496,2032,1616,1352,451,0,0
"Belvidere","Jackson County","South Dakota",53,49,57,63,80,96,232,172,187,214,0,0,0,0,0
"Beresford","Union/Lincoln County","South Dakota",2025,2005,2006,1849,1865,1655,1794,1686,1642,1460,1519,1117,1046,404,0
"Big Stone City","Grant County","South Dakota",460,467,605,669,672,631,718,829,681,617,630,551,590,471,376
"Bison","Perkins County","South Dakota",340,333,373,451,457,406,457,457,0,0,0,0,0,0,0
"Blunt","Hughes County","South Dakota",366,354,370,342,424,445,532,423,322,477,512,566,246,353,0
"Bonesteel","Gregory County","South Dakota",271,275,297,297,358,354,452,485,532,564,652,563,0,0,0
"Bowdle","Edmunds County","South Dakota",503,502,571,589,644,667,673,788,757,773,818,671,622,0,0
"Box Elder","Pennington County","South Dakota",9233,7800,2841,2680,3186,607,0,0,0,0,0,0,0,0,0
"Bradley","Clark County","South Dakota",71,72,112,117,135,157,188,226,311,291,368,351,0,0,0
"Brandon","Minnehaha County","South Dakota",9779,8785,5693,3543,2589,0,0,0,0,0,0,0,0,0,0
"Brandt","Deuel County","South Dakota",105,107,113,123,129,132,148,211,271,265,299,158,0,0,0
"Brentford","Spink County","South Dakota",79,77,65,69,91,94,96,132,161,174,132,0,0,0,0
"Bridgewater","McCook County","South Dakota",488,492,607,533,653,633,694,748,790,762,976,934,691,410,0
"Bristol","Day County","South Dakota",332,341,377,419,445,470,562,647,675,666,545,444,282,199,0
"Britton","Marshall County","South Dakota",1226,1241,1328,1394,1590,1465,1442,1430,1500,1312,1105,901,519,514,0
"Broadland","Beadle County","South Dakota",32,31,38,40,49,45,33,74,73,102,129,0,0,0,0
"Brookings","Brookings County","South Dakota",23225,22056,18504,16270,14951,13717,10558,7764,5346,4376,3924,2971,2346,1518,0
"Bruce","Brookings County","South Dakota",205,204,272,235,254,217,272,305,394,371,342,262,0,0,0
"Bryant","Hamlin County","South Dakota",452,456,396,374,388,502,522,624,658,656,651,645,405,172,0
"Buffalo","Harding County","South Dakota",336,330,380,488,453,393,652,380,0,0,0,0,0,0,0
"Buffalo Gap","Custer County","South Dakota",123,126,164,173,186,155,194,186,182,183,132,280,0,0,0
"Burke","Gregory County","South Dakota",594,604,676,756,859,892,811,829,602,605,628,311,0,0,0
"Bushnell","Brookings County","South Dakota",65,65,75,81,76,65,92,96,134,134,150,0,0,0,0
"Butler","Day County","South Dakota",16,17,17,17,22,38,62,109,153,184,156,162,0,0,0
"Camp Crook","Harding County","South Dakota",64,63,56,146,100,150,90,122,227,161,163,120,0,0,0
"Canistota","McCook County","South Dakota",652,656,700,608,626,636,627,687,665,590,594,409,0,0,0
"Canova","Miner County","South Dakota",100,105,140,172,194,204,247,340,333,364,338,311,169,0,0
"Canton","Lincoln County","South Dakota",3317,3057,3110,2787,2886,2665,2511,2530,2518,2270,2225,2103,1943,1101,675
"Carthage","Miner County","South Dakota",137,144,187,221,274,362,368,458,512,590,667,554,265,200,0
"Castlewood","Hamlin County","South Dakota",624,627,666,549,557,523,500,498,493,500,582,594,430,0,0
"Cavour","Beadle County","South Dakota",118,114,141,166,117,134,140,154,138,202,249,408,98,0,0
"Centerville","Turner County","South Dakota",874,882,910,887,892,910,887,1053,1046,1169,1104,971,871,723,0
"Central City","Lawrence County","South Dakota",131,134,149,185,177,188,247,218,302,198,199,296,0,519,1008
"Chamberlain","Brule County","South Dakota",2402,2387,2338,2347,2258,2626,2598,1912,1626,1364,1303,1275,874,939,0
"Chancellor","Turner County","South Dakota",260,264,328,276,257,220,214,193,232,207,280,160,0,0,0
"Chelsea","Faulk County","South Dakota",27,27,33,33,41,45,53,41,51,84,110,0,0,0,0
"Claire City","Roberts County","South Dakota",77,76,85,85,87,100,86,109,149,193,213,0,0,0,0
"Claremont","Brown County","South Dakota",128,127,130,135,180,214,247,236,271,285,290,294,120,121,0
"Clark","Clark County","South Dakota",1051,1139,1285,1292,1351,1356,1484,1471,1291,1290,1392,1220,684,592,25
"Clear Lake","Deuel County","South Dakota",1248,1273,1335,1247,1310,1157,1137,1105,997,834,835,704,491,147,0
"Colman","Moody County","South Dakota",573,594,572,482,501,456,505,509,462,488,535,362,213,0,0
"Colome","Tripp County","South Dakota",288,296,340,309,361,375,398,451,509,599,568,0,0,0,0
"Colton","Minnehaha County","South Dakota",695,687,662,657,757,601,593,521,615,575,608,407,0,0,0
"Columbia","Brown County","South Dakota",137,136,140,133,161,240,272,270,275,251,327,235,143,400,133
"Conde","Spink County","South Dakota",147,140,187,203,259,279,388,409,395,431,544,592,195,0,0
"Corona","Roberts County","South Dakota",111,109,112,118,126,133,150,191,177,152,0,0,0,0,0
"Corsica","Douglas County","South Dakota",594,592,644,619,644,615,479,551,452,516,346,286,0,0,0
"Cottonwood","Jackson County","South Dakota",10,9,6,12,4,16,38,102,118,191,121,0,0,0,0
"Cresbard","Faulk County","South Dakota",102,104,143,185,221,224,229,235,288,358,349,320,0,0,0
"Crooks","Minnehaha County","South Dakota",1330,1269,859,671,594,0,0,0,0,0,0,0,0,0,0
"Custer","Custer County","South Dakota",1969,2067,1860,1741,1830,1597,2106,2017,1845,1203,595,602,599,790,271
"Dallas","Gregory County","South Dakota",123,120,144,142,199,233,212,244,278,423,705,1277,0,0,0
"Dante","Charles Mix County","South Dakota",85,84,82,98,83,88,102,140,118,132,175,0,0,0,0
"Davis","Turner County","South Dakota",83,85,104,87,100,101,124,153,230,209,245,164,151,0,0
"Deadwood","Lawrence County","South Dakota",1261,1270,1380,1830,2035,2409,3045,3288,4100,2559,2403,3653,3498,2366,3777
"Dell Rapids","Minnehaha County","South Dakota",3700,3633,2980,2484,2389,1991,1863,1650,1706,1657,1677,1367,1255,993,260
"Delmont","Douglas County","South Dakota",231,234,263,235,290,260,363,405,461,472,518,369,0,0,0
"De Smet","Kingsbury County","South Dakota",1090,1089,1164,1172,1237,1336,1324,1180,1016,1017,1035,1063,749,541,116
"Dimock","Hutchinson County","South Dakota",122,125,151,157,140,167,0,0,0,0,0,0,0,0,0
"Doland","Spink County","South Dakota",188,180,297,306,381,430,481,535,542,538,667,581,235,216,0
"Dolton","Turner County","South Dakota",36,37,41,43,47,60,71,93,121,124,147,147,0,0,0
"Draper","Jones County","South Dakota",78,82,92,123,138,200,215,252,190,169,173,211,0,0,0
"Dupree","Ziebach County","South Dakota",531,525,434,484,562,523,548,438,460,365,213,0,0,0,0
"Eagle Butte","Dewey County","South Dakota",1353,1318,619,489,435,530,495,375,374,387,210,0,0,0,0
"Eden","Marshall County","South Dakota",90,89,97,97,142,132,136,149,171,150,209,0,0,0,0
"Edgemont","Fall River County","South Dakota",742,774,867,906,1468,1174,1772,1158,1002,1103,1254,816,479,0,0
"Egan","Moody County","South Dakota",271,278,265,208,248,281,310,347,418,419,569,516,503,399,23
"Elk Point","Union County","South Dakota",1940,1963,1714,1423,1661,1372,1378,1367,1483,1294,1470,1200,1081,0,0
"Elkton","Brookings County","South Dakota",729,736,677,602,632,541,621,657,779,856,872,742,578,331,0
"Emery","Hanson County","South Dakota",462,447,439,417,399,452,502,480,482,542,600,446,247,0,0
"Erwin","Kingsbury County","South Dakota",44,45,58,42,66,106,157,153,182,205,257,230,131,0,0
"Estelline","Hamlin County","South Dakota",755,768,675,658,719,624,722,760,627,488,658,509,357,210,0
"Ethan","Davison County","South Dakota",324,331,330,312,351,309,297,319,324,369,416,312,0,0,0
"Eureka","McPherson County","South Dakota",850,868,1101,1197,1360,1547,1555,1576,1457,1308,1200,961,961,552,0
"Fairburn","Custer County","South Dakota",83,85,80,62,41,50,47,80,120,91,0,0,0,0,0
"Fairfax","Gregory County","South Dakota",113,115,123,144,225,199,253,301,338,430,530,500,0,0,0
"Fairview","Lincoln County","South Dakota",65,60,94,73,90,72,101,155,150,156,174,107,0,0,0
"Faith","Meade County","South Dakota",418,421,489,548,576,576,591,599,522,607,575,0,0,0,0
"Farmer","Hanson County","South Dakota",10,10,18,23,27,58,95,114,130,132,0,0,0,0,0
"Faulkton","Faulk County","South Dakota",744,736,785,809,981,955,1051,837,747,739,709,802,539,462,0
"Flandreau","Moody County","South Dakota",2283,2341,2376,2311,2114,2027,2129,2193,2212,1934,1929,1484,1244,569,471
"Florence","Codington County","South Dakota",374,374,299,192,190,175,216,226,254,298,290,270,0,0,0
"Fort Pierre","Stanley County","South Dakota",2135,2078,1991,1854,1789,1448,2649,951,764,683,805,792,395,360,287
"Frankfort","Spink County","South Dakota",156,149,166,192,209,192,240,331,335,367,438,408,198,186,0
"Frederick","Brown County","South Dakota",200,199,255,241,307,359,381,408,422,461,424,433,251,281,0
"Freeman","Hutchinson County","South Dakota",1274,1306,1317,1293,1462,1357,1140,944,976,987,894,615,525,0,0
"Fruitdale","Butte County","South Dakota",64,64,62,43,88,74,79,70,89,113,40,0,0,0,0
"Fulton","Hanson County","South Dakota",94,91,86,70,108,101,135,139,168,171,214,0,0,0,0
"Garden City","Clark County","South Dakota",53,53,72,93,104,126,226,282,272,257,204,304,0,0,0
"Garretson","Minnehaha County","South Dakota",1212,1166,1165,924,963,847,850,745,666,655,715,668,500,341,0
"Gary","Deuel County","South Dakota",229,227,231,274,354,366,471,558,566,543,588,477,345,277,0
"Gayville","Yankton County","South Dakota",411,407,418,401,407,269,261,271,278,261,305,257,0,0,0
"Geddes","Charles Mix County","South Dakota",212,208,252,280,303,308,380,502,581,680,695,701,0,0,0
"Gettysburg","Potter County","South Dakota",1172,1162,1352,1510,1623,1915,1950,1555,1324,1400,951,936,0,0,0
"Glenham","Walworth County","South Dakota",107,105,139,134,169,178,171,168,131,187,135,182,0,0,0
"Goodwin","Deuel County","South Dakota",144,146,160,126,139,114,113,141,152,140,157,145,0,0,0
"Gregory","Gregory County","South Dakota",1264,1295,1342,1384,1503,1756,1478,1375,1346,1034,1067,1142,0,0,0
"Grenville","Day County","South Dakota",52,54,62,81,119,154,151,207,260,247,0,0,0,0,0
"Groton","Brown County","South Dakota",1495,1458,1356,1196,1230,1021,1063,1084,946,1009,1273,1108,700,684,0
"Harrisburg","Lincoln County","South Dakota",5190,4089,958,727,558,338,313,274,241,205,193,164,0,0,0
"Harrold","Hughes County","South Dakota",126,124,209,167,196,184,255,263,229,309,252,230,57,0,0
"Hartford","Minnehaha County","South Dakota",2983,2534,1844,1262,1207,800,688,592,647,628,677,648,423,0,0
"Hayti","Hamlin County","South Dakota",380,381,367,372,371,393,425,413,370,344,293,0,0,0,0
"Hazel","Hamlin County","South Dakota",90,91,105,103,94,101,128,161,182,191,247,229,0,0,0
"Hecla","Brown County","South Dakota",228,227,314,398,435,407,444,500,555,558,553,462,160,0,0
"Henry","Codington County","South Dakota",267,267,268,215,217,182,276,323,322,358,418,441,191,194,0
"Hermosa","Custer County","South Dakota",398,398,315,242,251,150,126,123,121,128,74,114,77,172,0
"Herreid","Campbell County","South Dakota",417,438,482,488,570,672,767,633,592,544,460,414,0,0,0
"Herrick","Gregory County","South Dakota",104,105,105,139,115,126,160,169,246,339,422,412,0,0,0
"Hetland","Kingsbury County","South Dakota",45,46,43,53,66,81,107,123,199,250,248,223,162,0,0
"Highmore","Hyde County","South Dakota",779,795,851,835,1055,1173,1078,1158,1136,1034,1022,1084,376,435,0
"Hill City","Pennington County","South Dakota",990,948,780,650,535,389,419,361,0,0,0,271,0,470,0
"Hillsview","McPherson County","South Dakota",3,3,3,4,9,19,44,68,160,161,0,0,0,0,0
"Hitchcock","Beadle County","South Dakota",94,91,108,95,132,150,193,227,246,334,358,259,135,0,0
"Hosmer","Edmunds County","South Dakota",203,208,287,310,385,437,433,533,579,524,419,217,0,0,0
"Hot Springs","Fall River County","South Dakota",3503,3711,4129,4325,4742,4434,4943,5030,4083,3486,2141,2140,1319,1423,0
"Hoven","Potter County","South Dakota",407,406,511,522,615,671,568,552,369,386,271,209,0,0,0
"Howard","Miner County","South Dakota",819,858,1071,1156,1169,1175,1208,1251,1193,1224,1325,1026,588,0,0
"Hudson","Lincoln County","South Dakota",316,296,402,332,388,366,455,500,478,478,470,404,400,202,88
"Humboldt","Minnehaha County","South Dakota",590,589,521,468,487,411,446,450,417,428,445,0,0,0,0
"Hurley","Turner County","South Dakota",403,415,426,372,419,399,450,474,586,586,586,506,444,344,0
"Huron","Beadle County","South Dakota",13163,12592,11893,12448,13000,14299,14180,12788,10843,10946,8302,5791,2793,3038,164
"Interior","Jackson County","South Dakota",102,94,77,67,62,81,179,126,182,144,0,0,0,0,0
"Ipswich","Edmunds County","South Dakota",950,954,943,965,1153,1187,1131,1058,1002,913,909,810,397,539,0
"Irene","Clay/Turner County","South Dakota",412,420,432,464,523,461,399,374,391,491,446,263,229,0,0
"Iroquois","Kingsbury/Beadle County","South Dakota",266,266,278,328,348,375,385,413,413,531,651,578,276,183,0
"Isabel","Dewey County","South Dakota",144,135,239,319,332,394,488,511,490,430,240,0,0,0,0
"Java","Walworth County","South Dakota",131,129,197,161,261,305,406,433,493,529,527,473,0,0,0
"Jefferson","Union County","South Dakota",535,547,586,527,592,474,443,466,469,426,550,407,364,229,90
"Kadoka","Jackson County","South Dakota",699,654,706,736,832,815,840,584,464,385,341,222,0,0,0
"Kennebec","Lyman County","South Dakota",252,240,286,284,334,372,372,374,390,349,341,252,0,0,0
"Keystone","Pennington County","South Dakota",344,337,311,232,295,0,0,0,0,0,0,0,0,0,0
