"Place","County","State",2014,2010,2000,1990,1980,1970,1960,1950,1940,1930,1920,1910,1900,1890,1880,1870
"Aberdeen","Grays Harbor County","Washington",16255,16896,16461,16565,18739,18489,18741,19653,18846,21723,15337,13660,3747,1638,0,0
"Airway Heights","Spokane County","Washington",6545,6114,4500,1971,1730,744,708,0,0,0,0,0,0,0,0,0
"Albion","Whitman County","Washington",574,579,616,632,631,687,291,256,206,236,252,276,0,0,0,0
"Algona","King County","Washington",3133,3014,2460,1694,1467,1276,1311,0,0,0,0,0,0,0,0,0
"Almira","Lincoln County","Washington",269,284,302,310,330,376,414,395,466,339,450,368,0,0,0,0
"Anacortes","Skagit County","Washington",16232,15778,14557,11451,9013,7701,8414,6919,5875,6564,5284,4168,1476,1131,0,0
"Arlington","Snohomish County","Washington",18808,17926,11713,4037,3282,2261,2025,1635,1460,1439,1418,1476,0,0,0,0
"Asotin","Asotin County","Washington",1290,1251,1095,981,943,637,745,740,686,697,852,820,470,200,0,0
"Auburn","King County","Washington",76347,70180,40314,33102,26417,21653,11933,6497,4211,3906,3163,957,489,740,0,0
"Bainbridge Island","Kitsap County","Washington",23293,23025,20308,3081,2196,1461,919,637,0,0,0,0,0,0,0,0
"Battle Ground","Clark County","Washington",18930,17571,9296,3758,2774,1438,888,0,0,0,0,0,0,0,0,0
"Beaux Arts Village","King County","Washington",323,299,307,303,328,475,351,0,0,0,0,0,0,0,0,0
"Bellevue","King County","Washington",136426,122363,109569,86874,73903,61196,12809,0,0,0,0,0,0,0,0,0
"Bellingham","Whatcom County","Washington",83365,80885,67171,52179,45794,39375,34688,34112,29314,30823,25585,24298,11062,8135,0,0
"Benton City","Benton County","Washington",3191,3038,2624,1806,1980,1070,1210,863,0,0,0,0,0,0,0,0
"Bingen","Klickitat County","Washington",719,712,672,645,644,671,636,736,600,365,0,0,0,0,0,0
"Black Diamond","King County","Washington",4338,4151,3970,1422,1170,1160,1026,0,0,0,0,0,0,561,0,0
"Blaine","Whatcom County","Washington",4976,4684,3770,2489,2363,1955,1735,1693,1524,1642,2254,2289,1592,1563,0,0
"Bonney Lake","Pierce County","Washington",18809,17374,9687,7494,5328,2700,645,275,0,0,0,0,0,0,0,0
"Bothell","King County","Washington",36567,33505,30150,12345,7943,5420,2237,1019,794,818,613,599,0,0,0,0
"Bremerton","Kitsap County","Washington",38572,37729,37259,38142,36208,35307,28922,27678,15134,10170,8918,2993,0,0,0,0
"Brewster","Okanogan County","Washington",2354,2370,2189,1633,1337,1059,940,851,447,413,394,296,0,0,0,0
"Bridgeport","Douglas County","Washington",2434,2409,2059,1498,1174,952,876,802,320,305,337,431,0,0,0,0
"Brier","Snohomish County","Washington",6434,6087,6383,5633,2915,3093,0,0,0,0,0,0,0,0,0,0
"Buckley","Pierce County","Washington",4520,4354,4145,3516,3143,3446,3538,2705,1170,1052,1119,1272,1014,0,0,0
"Bucoda","Thurston County","Washington",565,562,628,536,519,421,390,473,541,703,442,0,0,945,0,0
"Burien","King County","Washington",50188,33313,31881,25089,23189,0,0,0,0,0,0,0,0,0,0,0
"Burlington","Skagit County","Washington",8568,8388,6757,4349,3894,3138,2968,2350,1632,1407,1360,1302,0,0,0,0
"Camas","Clark County","Washington",21220,19355,12534,6442,5681,5790,5666,4725,4433,4230,1843,1125,0,417,0,0
"Carbonado","Pierce County","Washington",623,610,621,495,456,394,424,412,0,0,0,0,0,705,0,0
"Carnation","King County","Washington",1853,1786,1893,1243,913,530,490,446,460,360,536,0,0,0,0,0
"Cashmere","Chelan County","Washington",3137,3063,2965,2544,2240,1976,1891,1768,1465,1473,1114,625,0,0,0,0
"Castle Rock","Cowlitz County","Washington",2140,1982,2130,2067,2162,1647,1424,1255,1182,1239,829,998,750,681,0,0
"Cathlamet","Wahkiakum County","Washington",537,532,565,508,635,647,615,501,621,537,422,362,0,0,133,0
"Centralia","Lewis County","Washington",16623,16336,14742,12101,11555,10054,8586,8657,7414,8058,7549,7311,1600,2026,0,0
"Chehalis","Lewis County","Washington",7261,7259,7057,6527,6100,5727,5199,5639,4857,4907,4558,4507,1775,1309,0,0
"Chelan","Chelan County","Washington",3981,3890,3522,2969,2802,2837,2402,2157,1738,1403,896,682,0,0,0,0
"Cheney","Spokane County","Washington",11420,10590,8832,7723,7630,6358,3173,2797,1551,1335,1252,1207,781,647,0,0
"Chewelah","Stevens County","Washington",2602,2607,2186,1945,1888,1365,1525,1683,1565,1315,1288,823,0,0,0,0
"Clarkston","Asotin County","Washington",7359,7229,7337,6753,6903,6312,6209,5617,3116,2870,1859,1257,0,0,0,0
"Cle Elum","Kittitas County","Washington",1883,1872,1755,1778,1773,1725,1816,2206,2230,2508,2661,2749,0,243,0,0
"Clyde Hill","King County","Washington",3198,2984,2890,2972,3229,2987,1871,0,0,0,0,0,0,0,0,0
"Colfax","Whitman County","Washington",2828,2805,2844,2713,2780,2664,2860,3057,2853,2782,3027,2783,2121,1649,444,0
"College Place","Walla Walla County","Washington",8997,8765,7818,6308,5771,4510,4031,3174,1272,0,0,0,0,0,0,0
"Colton","Whitman County","Washington",431,418,386,325,307,279,253,207,262,269,382,393,251,0,0,0
"Colville","Stevens County","Washington",4706,4673,4988,4360,4510,3742,3806,3033,2418,1803,1718,1533,594,539,67,0
"Conconully","Okanogan County","Washington",212,210,185,153,157,122,108,141,187,102,270,357,0,232,0,0
"Concrete","Skagit County","Washington",714,705,790,735,592,573,840,760,859,736,924,945,0,0,0,0
"Connell","Franklin County","Washington",5388,4209,2956,2005,1981,1161,906,465,365,321,311,0,0,0,0,0
"Cosmopolis","Grays Harbor County","Washington",1589,1649,1595,1372,1575,1599,1312,1164,1207,1943,1512,1132,1004,287,0,0
"Coulee City","Grant County","Washington",575,562,600,568,510,558,654,977,744,420,472,276,0,0,0,0
"Coulee Dam","Okanogan/Douglas County","Washington",1091,1098,1044,1087,1412,1425,1344,0,0,0,0,0,0,0,0,0
"Coupeville","Island County","Washington",1860,1831,1723,1377,1006,678,740,379,325,277,343,310,0,513,90,0
"Covington","King County","Washington",19134,17575,13783,0,0,0,0,0,0,0,0,0,0,0,0,0
"Creston","Lincoln County","Washington",217,236,232,230,309,325,317,268,281,216,317,308,0,0,0,0
"Cusick","Pend Oreille County","Washington",204,207,212,195,246,257,299,360,404,380,0,0,0,0,0,0
"Darrington","Snohomish County","Washington",1370,1347,1136,1042,1064,1094,1272,921,0,0,0,0,0,0,0,0
"Davenport","Lincoln County","Washington",1665,1734,1730,1502,1559,1363,1494,1417,1337,987,1112,1229,1000,390,0,0
"Dayton","Columbia County","Washington",2460,2526,2655,2468,2565,2596,2913,2979,3026,2528,2695,2389,2216,1880,996,0
"Deer Park","Spokane County","Washington",3864,3652,3017,2278,2140,1295,1333,1167,1070,1009,1103,875,0,0,0,0
"Des Moines","King County","Washington",31011,29673,29267,17283,7378,3951,1987,0,0,0,0,0,0,212,0,0
"DuPont","Pierce County","Washington",9313,8199,2452,592,559,384,354,0,0,0,600,0,0,0,0,0
"Duvall","King County","Washington",7639,6695,4616,2770,729,607,345,236,234,200,258,0,0,0,0,0
"East Wenatchee","Douglas County","Washington",13505,13190,5757,2701,1640,913,383,389,268,0,0,0,0,0,0,0
"Eatonville","Pierce County","Washington",2865,2758,2012,1374,998,852,896,1048,996,912,861,754,0,0,0,0
"Edgewood","Pierce County","Washington",9749,9387,9089,0,0,0,0,0,0,0,0,0,0,0,0,0
"Edmonds","Snohomish County","Washington",40896,39709,39515,30744,27679,23684,8016,2057,1288,1165,936,1114,474,0,0,0
"Electric City","Grant County","Washington",1018,968,922,910,927,651,404,0,0,0,0,0,0,0,0,0
"Ellensburg","Kittitas County","Washington",18774,18174,15414,12361,11752,13568,8625,8430,5944,4621,3967,4209,1737,2768,0,0
"Elma","Grays Harbor County","Washington",3018,3107,3049,3011,2720,2227,1811,1543,1370,1545,1253,1532,894,345,0,0
"Elmer City","Okanogan County","Washington",239,238,267,290,312,324,265,513,0,0,0,0,0,0,0,0
"Endicott","Whitman County","Washington",286,289,621,320,290,333,369,397,495,512,634,474,0,0,0,0
"Entiat","Chelan County","Washington",1154,1112,957,449,445,355,357,420,0,0,0,0,0,0,0,0
"Enumclaw","King County","Washington",11548,10669,11116,7227,5427,4703,3269,2789,2627,2084,1378,0,0,0,0,0
"Ephrata","Grant County","Washington",8031,7664,6808,5349,5359,5255,6548,4589,951,516,628,323,0,0,0,0
"Everett","Snohomish County","Washington",106736,103019,91488,69961,54413,53622,40304,33849,30224,30567,27644,24814,7838,0,0,0
"Everson","Whatcom County","Washington",2565,2481,2035,1490,898,633,431,345,292,295,0,0,0,0,0,0
"Fairfield","Spokane County","Washington",606,612,494,446,582,469,367,369,364,381,413,308,0,0,0,0
"Farmington","Whitman County","Washington",148,146,153,126,176,140,176,239,341,344,479,489,434,418,76,0
"Federal Way","King County","Washington",93425,89306,83259,67554,0,0,0,0,0,0,0,0,0,0,0,0
"Ferndale","Whatcom County","Washington",12704,11415,8758,5398,3855,2164,1442,979,717,752,759,691,0,0,0,0
"Fife","Pierce County","Washington",9550,9173,4784,3864,1823,1458,1463,0,0,0,0,0,0,0,0,0
"Fircrest","Pierce County","Washington",6658,6497,5868,5258,5477,5651,3565,1459,486,441,0,0,0,0,0,0
"Forks","Clallam County","Washington",3717,3532,3120,2862,3060,1680,1156,1120,0,0,0,0,0,0,0,0
"Friday Harbor","San Juan County","Washington",2306,2162,1989,1492,1200,803,706,783,658,601,522,400,0,0,0,0
"Garfield","Whitman County","Washington",598,597,641,544,599,610,607,674,674,703,776,932,697,317,0,0
"George","Grant County","Washington",505,501,528,253,261,273,0,0,0,0,0,0,0,0,0,0
"Gig Harbor","Pierce County","Washington",8375,7126,6465,3236,2429,1657,1094,803,0,0,0,0,0,321,0,0
"Gold Bar","Snohomish County","Washington",2101,2075,2014,1078,794,504,315,305,307,304,353,0,0,0,0,0
"Goldendale","Klickitat County","Washington",3428,3407,3760,3319,3575,2484,2536,1907,1584,1116,1274,1203,738,702,545,0
"Grand Coulee","Grant County","Washington",1050,988,897,984,1180,1302,1058,2741,3659,0,0,0,0,0,0,0
"Grandview","Yakima County","Washington",11140,10862,8377,7169,5615,3605,3366,2503,1449,1085,1011,320,0,0,0,0
"Granger","Yakima County","Washington",3394,3246,2530,2053,1812,1567,1424,1164,752,568,412,453,0,0,0,0
"Granite Falls","Snohomish County","Washington",3468,3364,2347,1060,911,813,599,635,683,495,632,714,0,0,0,0
"Hamilton","Skagit County","Washington",299,301,309,228,268,196,271,294,229,252,462,405,392,203,0,0
"Harrah","Yakima County","Washington",627,625,542,341,343,305,284,297,0,0,0,0,0,0,0,0
"Harrington","Lincoln County","Washington",400,424,426,449,507,489,575,620,545,519,882,661,0,0,0,0
"Hartline","Grant County","Washington",156,151,134,176,165,189,206,205,168,170,282,237,0,0,0,0
"Hatton","Adams County","Washington",102,101,98,71,81,60,65,42,43,65,87,161,0,0,0,0
"Hoquiam","Grays Harbor County","Washington",8389,8726,9097,8972,9719,10466,10762,11123,10835,12766,10058,8171,2608,1302,0,0
"Hunts Point","King County","Washington",434,394,443,513,480,578,428,0,0,0,0,0,0,0,0,0
"Ilwaco","Pacific County","Washington",905,936,950,815,604,506,518,628,656,750,787,664,584,517,85,0
"Index","Snohomish County","Washington",190,178,157,139,147,169,158,211,217,381,412,417,0,0,0,0
"Ione","Pend Oreille County","Washington",448,447,479,507,594,529,648,714,681,594,541,634,0,0,0,0
"Issaquah","King County","Washington",34056,30434,11212,7786,5536,4313,1870,955,812,763,791,628,700,0,0,0
"Kahlotus","Franklin County","Washington",191,193,214,167,203,308,131,151,163,164,151,132,0,0,0,0
"Kalama","Cowlitz County","Washington",2347,2344,1783,1210,1216,1106,1088,1121,1028,940,1228,816,554,325,129,0
"Kelso","Cowlitz County","Washington",11788,11925,11895,11820,11129,10296,8379,7345,6749,6260,2228,2039,694,354,0,0
"Kenmore","King County","Washington",21839,20460,18678,8917,7281,0,0,0,0,0,0,0,0,0,0,0
"Kennewick","Benton County","Washington",77421,73917,54693,42155,34397,15212,14244,10106,1918,1519,1684,1219,0,0,0,0
"Kent","King County","Washington",125560,92411,79524,37960,22961,17711,9017,3278,2586,2320,2282,1908,755,853,0,0
"Kettle Falls","Stevens County","Washington",1592,1595,1527,1272,1087,893,905,714,560,414,276,377,297,0,0,0
"Kirkland","King County","Washington",85763,48787,45054,40052,18785,14970,6025,4713,2084,1714,1354,532,0,0,0,0
"Kittitas","Kittitas County","Washington",1417,1381,1105,843,782,637,536,586,501,244,200,0,0,0,0,0
"Krupp","Grant County","Washington",50,48,60,53,83,52,99,98,94,101,106,0,0,0,0,0
"La Center","Clark County","Washington",3099,2800,1654,451,439,300,244,204,193,219,167,288,0,0,0,0
"La Conner","Skagit County","Washington",917,891,761,656,633,639,638,594,624,549,516,603,564,398,0,0
"La Crosse","Whitman County","Washington",312,313,380,336,373,426,463,457,475,471,0,0,0,0,0,0
"Lacey","Thurston County","Washington",45446,42393,31226,19279,13940,9696,6630,0,0,0,0,0,0,0,0,0
"Lake Forest Park","King County","Washington",13184,12598,13142,4031,2485,2530,0,0,0,0,0,0,0,0,0,0
"Lake Stevens","Snohomish County","Washington",30284,28069,6361,3380,1660,1283,1538,2586,0,0,0,0,0,0,0,0
"Lakewood","Pierce County","Washington",59610,58163,58211,58412,54533,48195,0,0,0,0,0,0,0,0,0,0
"Lamont","Whitman County","Washington",71,70,106,91,101,88,111,101,135,130,165,0,0,0,0,0
"Langley","Island County","Washington",1052,1035,959,845,650,547,448,427,338,268,274,0,0,0,0,0
"Latah","Spokane County","Washington",184,183,151,175,155,169,190,244,270,284,330,339,253,232,0,0
"Leavenworth","Chelan County","Washington",1979,1965,2074,1692,1522,1322,1480,1503,1608,1415,1791,1551,0,0,0,0
"Liberty Lake","Spokane County","Washington",8637,7591,4660,2015,1599,0,0,0,0,0,0,0,0,0,0,0
"Lind","Adams County","Washington",569,564,582,472,567,622,697,796,679,730,724,831,0,0,0,0
"Long Beach","Pacific County","Washington",1346,1392,1283,1236,1199,968,665,783,620,396,0,0,0,0,0,0
"Longview","Cowlitz County","Washington",36483,36648,34660,31499,31052,28373,23349,20339,12385,10652,0,0,0,0,0,0
"Lyman","Skagit County","Washington",447,438,409,275,285,324,400,378,376,441,492,441,0,0,0,0
"Lynden","Whatcom County","Washington",13165,11951,9020,5709,4022,2808,2542,2161,1696,1564,1244,1148,365,560,0,0
"Lynnwood","Snohomish County","Washington",36687,35836,33847,28695,22641,17381,7207,0,0,0,0,0,0,0,0,0
"Mabton","Yakima County","Washington",2303,2286,1891,1482,1248,926,958,831,485,423,547,666,0,0,0,0
"Malden","Whitman County","Washington",199,203,215,189,200,219,292,332,325,375,1005,798,0,0,0,0
"Mansfield","Douglas County","Washington",327,320,319,311,315,273,335,414,349,230,478,0,0,0,0,0
"Maple Valley","King County","Washington",25125,22684,14209,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marcus","Stevens County","Washington",184,183,117,135,174,142,126,149,393,583,551,0,0,311,0,0
"Marysville","Snohomish County","Washington",65087,60020,25315,10328,5080,4343,3117,2259,1748,1354,1244,1239,728,262,0,0
"Mattawa","Grant County","Washington",4579,4437,2609,941,299,180,394,0,0,0,0,0,0,0,0,0
"McCleary","Grays Harbor County","Washington",1609,1653,1454,1235,1419,1265,1115,1175,0,0,0,0,0,0,0,0
